repository_language,repos_by_lang
JavaScript,478
Java,420
Ruby,286
CSS,279
PHP,214
Python,213
C,134
C++,117
Shell,97
C#,74
Swift,48
Objective-C,46
Go,42
Scala,15
VimL,15
Makefile,14
R,12
Arduino,12
Lua,11
Clojure,11
Groovy,11
Haskell,10
Emacs Lisp,10
TeX,9
CoffeeScript,9
Perl,8
Visual Basic,7
Matlab,7
Assembly,7
Processing,6
Elixir,5
Rust,5
Common Lisp,5
Elm,3
Verilog,3
AutoHotkey,3
Scheme,3
Erlang,3
TypeScript,3
Logos,2
ActionScript,2
Julia,2
ASP,2
Nimrod,2
PowerShell,2
D,2
XSLT,2
OpenSCAD,2
Objective-C++,1
Dart,1
Kotlin,1
Crystal,1
Idris,1
Puppet,1
Racket,1
Max,1
PureScript,1
NetLogo,1
null,0
